Table 1.2: Surfactants Used in NLCs Preparation.,Table 1.2: Surfactants Used in NLCs Preparation.,Table 1.2: Surfactants Used in NLCs Preparation.,Table 1.2: Surfactants Used in NLCs Preparation.
Surfactant,Nature,HLB (Hydrophilic-Lipophilic Balance),Citation
Tween 20,Hydrophilic,16.7,"(Saeedi et al., 2023)"
Tween 80,Hydrophilic,15,"(Pa, 2014)"
Poloxamer 188,Hydrophilic,29,"(Rajinikanth & Chellian, 2016)"
Poloxamer 407,Hydrophilic,23,"(Rosen, 2005)"
Cremophor RH40,Hydrophilic,14,"(Izza et al., 2021b)"
Cremophor EL,Hydrophilic,13,"(Rosen, 2005)"
Kolliphor HS15,Hydrophilic,16,"(Izza et al., 2021)"
Sodium deoxycholate,Hydrophilic,17,"(Rosen, 2005)"
Sodium Tauro deoxycholate,Hydrophilic,17,"(Rosen, 2005)"
Lecithin,Amphiphilic,4–9,"(Elmowafy et al., 2017)"
