Table 3.3: Effect of Lyophilization and Sucrose Concentration on NLC Formulations,Table 3.3: Effect of Lyophilization and Sucrose Concentration on NLC Formulations,Table 3.3: Effect of Lyophilization and Sucrose Concentration on NLC Formulations,Table 3.3: Effect of Lyophilization and Sucrose Concentration on NLC Formulations,Table 3.3: Effect of Lyophilization and Sucrose Concentration on NLC Formulations
Formulation,Sucrose Concentration (%),Particle Size (nm),PDI,Zeta Potential (mV)
Batch A,,51.35,0.2690,-32.53
Batch A,7,98.48,0.4381,-27.00
Batch A,10,128.60,0.3246,-30.01
Batch B,,70.63,0.2370,-33.86
Batch B,7,86.53,0.3796,-31.45
Batch B,10,108.10,0.4378,-32.29
Batch D,,80.56,0.1518,-32.22
Batch D,7,140.80,0.3979,-31.87
Batch D,10,112.60,0.4311,-26.85
